title,link,published
It’s Cyber Monday and here are top 5 tech deals worth exploring - The Indian Express,https://news.google.com/rss/articles/CBMingFBVV95cUxQSlhTajBhNmF2VExySlZJcG0wS0lGMTJqM1l3RDVmbmY0WE0xdG5XSFd3QnNWLWZPUUhxRnhoYVF1c2x5Tm90aVhDOTlaOE1RVUJoRDRiR2laME84NzFxeDhYSUxSb0dDTnQ2ZFQ3c1p2djFsRTZHS1oyRXUzZ0VRS09DeDZIRzdic1BFYlZCRVk0R1NRY0pZNnZ3S05pZ9IBpAFBVV95cUxNemZEUUtWem1mMjBJa2hKT0lLa2lNU25iVVVIZGdMUy00MVdUTF9ON0NqNWxkbDFLc3prYk5CRnNzXzdFOEVHb1NKU29CMWlwa0FSNUlLRzZ4NlMzc1paQ1FDYWZBOWJza1BRRFhaUk4yVWhXckRraFUxSGtPZzRvRHFwNExBTTl6U1FoSGRSVExFR2VTTXFTR3hZZFBMS05oeExBVw?oc=5,"Mon, 02 Dec 2024 08:00:00 GMT"
"India's tech funding grows 6%, number of deals falls 31.5% to 1,448 in 2024 - Business Standard",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPZk5FbUVubHRUM3M3RlVxODRJajNsQVhqQ1owZnc3c0x0OVpBRTBzWWZaVVl6YU9rTVNiYTdLT0tCd1ZXRHQ4NHcwenE5cmdCT19jYW1PWmhLQ0t5YldWR1NIamQ4WHdMeFRlMldGWS1HYlJ2T3hvZDVJTGprLWJqNWM4MEljeFFENEszdl90NXdlMUoxS1FKVDZCeUVyQWdwalc5THdsdDFNSXpUOVo3dXNoSGNZNFRWRi12V0taVW1VaGpoMm8ydmZHNklSMVFmb3RaetIB2gFBVV95cUxOemxwbjgwZXRTZGxCcmFmR0lucWk2c0tHWE9JdEpyTW00ZVhReklreEdPaUwzMGNIR3ZyeDJWb0VZS0poc3dDSzNQcWg0amtPOGxoNU5OeHhDdXMwdW1MR1FWeG5IaWhfMGNNSEFQWkhpamhGR21Vd2pKYmJfODlGVU9ZU0QxeUxGcVNZSTNpQjEwS0ozd0J2eEJYY0xLQkpqSmRVaERUVlcxSS1FanNaQjJpclN4cXZSZVJJZC1NQklxSEloNGl4QnVxZ3RvSHFsc3Z6U2ZRSDZnUQ?oc=5,"Thu, 19 Dec 2024 08:00:00 GMT"
Indian tech startup funding jumps 23% to $7.4 billion in 2024: Nasscom-Zinnov study - Moneycontrol,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNSHFHZ0N0bFYtTHN4U2pXUGtweTR4bUgwVVc2VzZxV3VRM2FSeXFuR1VMNnBQb2N4SFgxUktJbkd2UDhzTmFWMEJqUmMxdWZ5RzZkNE9ITnEyZE9DRk9ON09WMkRiOWpQc1hhZjYta3oyT2kxeV81b1VTYlNJZnZFUmFFVEdHWTFSbHlMTmQyZGRKVko3bC1JN2hmdzROS3c3TFV3REs3OW45UWJpU0p2YjBRYkJDUExWYUg5UHlseF9oNDlIWHIzSkloS29TZy1wX1NVOHRiUXdmUdIB3wFBVV95cUxOQjB4bGRFNU0yU01BUGh4MHRFc0t3X09JM1l1TE9EUXRBenAxdGs4Zl91TWNrZ2pFYlJGMTEzMU9Bbk5Rd1V2c2VxODZrRzV2VUIxZVlkaGdfM3ZlNm9oYzYyeklNQTBCdjdGMDBiQ1pxbjViQXhSTGFkbGwtcFBEbjVFTnoxN2hEVExheGRmNktvYldNY1h2djFmM2lzYlRKOGY1Vkl1dkJjYkpRMDFuWU9OVEN2VjFUZUpsNVd0dTM0WXE0QXgxUHYtajVKSnptUHhuQVNkNkt2V29wRl9B?oc=5,"Thu, 03 Apr 2025 14:06:56 GMT"
Indian tech sector sees deals worth $635 mn in Q3 2024: Grant Thornton report - Deccan Herald,https://news.google.com/rss/articles/CBMivgFBVV95cUxPTlByUWtRazNEWEt2LW1SaWljcXRQTG5KSUNmRzZLVDA5eVJiRXlqaEFCdGd2SHhwSGd0QmZESll2ZTc5eEZqQnZyUzBjZGZJb21nSWlzYlRWT1AtTG1EanJPOGhwVVppbmZFc2RnczJ3Zk5wX0w4cVZCRTFZTnNlY1pielBqaEJ3MDUzRUgxU3R1QmdIRTNkSXZndW9DYnlJU2M0X1cwMU1aejZNaEt4Ym9KVFFhTnM1VV9famNB?oc=5,"Fri, 11 Oct 2024 07:00:00 GMT"
"Asian tech players react to US tariffs with delays, doubts, deal-making - theregister.com",https://news.google.com/rss/articles/CBMicEFVX3lxTE9BdmxSX0xGR1VCN2tSeXluRURWS0UzeEo4aUd2UVUyb0x0a2U0RkJpbnB3UmdkOUN2QmJOUWlDSVlXQTR2bUg3bEw0WkxLel9kem1Gc193UHp4bFdOcVoxOGZ4T25fWnNqcjRTM3dhNzPSAXZBVV95cUxNU0w1NWdhcXFTcmhxY0xnejJrT3phRldBTDQ0NjM1aFpwSUYzbEpGbGJrMlcyWktrNk1lby1ZSjFRM1VmQ0Y0cGYzZm96MGo5blIxLXZmT2ZtQ014NkFVVENRRFdLOEVsZ0pWcXFQODBuLWhCUDR3?oc=5,"Mon, 07 Apr 2025 02:59:00 GMT"
Tech start-ups remain optimistic on funding in 2025 - The New Indian Express,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNcWVZM2p6ZUtLcWNIZlFtNkZWRDRvSDR4czE2UGd2RGxud1E4TmJSeGpwemtPWDIyNzBzRm5LOVJYc3RRZ0tZSFFIMnY4MTJtMGNHakxrOGIxeEQ1OTd5SXN5d1dFZ1NxMTBoN3BFR0hQc002RlB6SUFPTXV3UGwxOUt6R3N3SVI3OU1OWXJmMGhkY3NWdVNscHpTMFhBRHpuWkx0eEM1elHSAbYBQVVfeXFMT3BCdDg5bjVuaG5DWV9iZEpObGdILWczNklPbUp4ak1ESUwweDJObFRJZDZpbUZ3OE1Bd08zNHFLYkZzNWg3cXNQSlRPdDhXTGFYbUJxZmVZOTR3Q0UybzFFYnN4cHM1dFpyMGVod0JlUGtGMXdZa1BvUXdtcnhtUzQwbXpCdHlCdVIzb2hvajJScWpGbF9rUFB3ZUFzcGhWNHh1Xy02c1dxRGp5SWFZQjhhay0yYmc?oc=5,"Thu, 03 Apr 2025 15:24:13 GMT"
How Accenture leapt ahead of Indian IT firms with large deals | Company Business News - Mint,https://news.google.com/rss/articles/CBMi-gFBVV95cUxQdGdaNDlVVGJMVXA1YkYxckI0YXYtOUdmcE5xaXlDTXRDcW9VM3FVQ240dUxWM1ZnY3hZYkNtd3N2a2xhZVI4cUJGV1RtNExpQ0oyeTVPUkZOdHZWb3psaGU1UXIxOXVBLWJQTk5oY3dQYkJ6MFRCMlRCcy1NMWxYQTM3UkJwOVo4SjRFQnpHanVKYml2bTlGMC1RQTBjUWQyNkNETUx2bUlTaHpKM3VFM2pIdUJnREdzYXd6X3RVN0ktTklHSGJSbGNRSmRMTC15bWhsMVBNNFhHSi03ZDd2Z3g2UGJuV0E2Vk1ueHlhOHA3Zl9DcWVlc3dn0gH_AUFVX3lxTE9zeTEwVnIxVE51WTFKUHVUa1BWdkV0ZW5mc0VxTk50VW9xbk9IcGNiam5NdXh3YlprWXhBNl9aTXZ6VTNpZVlzNWxCcGxPajVhdVNPVGNIUkVteGxVSkZUVGtmR19LVFB2aU9wQzZRMGlNY0ZxVngxMDFJLW1hWWYtLUpGWHoxZktnY1VUaVpxdWRzMnJNQ2FIVF8tRWZRZDZkLUJBSlRsejJ0ZmYwTDBibktpLXhEQUh5alRjUllCSjU4NkxGc1RmanlUUXVaeFk2S0xXZFdGSG55ZUdxM3REeW12RHJfT3kyWlM1Q3RIUHZtSjZVWDhmT3RGTUlpWQ?oc=5,"Wed, 26 Mar 2025 07:00:00 GMT"
"Cyber Monday sale: What is it, top tech deals, and more - financialexpress.com",https://news.google.com/rss/articles/CBMirwFBVV95cUxQclB0LWJpNWUwQ2tUcko3Q2FzR2Y5OUpZVlp2dWEwX01GVDd0OWpJNS1JWFdFU19ya1Z3TWJUb3hEeEN0S0hhSHNUazAzWnhrMm9OZjJSaW5vSUt3eEw2UmZmVVBaeUctTFFWd0Y4Rjd6OG5VNjRCdkFTNWh3OU9oeEs4a2dzeWFhOS1ZcWdNcHc4dFBfVEs2cHludE5IX0JkRGJoYm9jUGt6LVBrT2M0?oc=5,"Mon, 02 Dec 2024 08:00:00 GMT"
India Eyes U.S. Combat Tech: Fighter Jet Engine & Stryker Deals In Focus! - Business Today,https://news.google.com/rss/articles/CBMixAFBVV95cUxPWWNMX2FLNmtwTW5NY09MTjFKWDhJemd2Yjh3RHdhZG1vWmszSXVvbFpLb2lEMWFlUV91UE9DbDYxZnZyVHhnd2NIcWY2WHBUWGhMdUZMaGNoYjZIR2NOQnZVdWpoQnlodm5QY1VLWF96U2ZIajVrV2xJcUljNkt3eGc3WDhCSWtLZm9kRGFzOGRUWjdIZy1XWVA2dTIzWUtjYnpUS2RjUWVDRGs1OGlEME5VMTFuMVNJS1NxSnJTbFlHZy1D0gHKAUFVX3lxTE43S1h3NnJZcGpIRnVRLVpJY2tfclRmZW5lSkRiQ1lGRGczSFVZRFp1VDJVRDd6S1RpdG5yVkt6RFN3VWlfdmZXYjRsa2x6QmcxVjRid0dEZ3JqZ0ZqNkE3WF9TUnNfM3J5OVBJZUUxakxqSS1QUExVdnRja1dCT0dESlpQYXlMcm9nOWYzVlgyelRyeXRWdEFXUVRySC1ubzItbXRKNUNKR3pGcG5zSmNITng5cGhrX3paaTBtV003SmpjdWVLWUhxRGc?oc=5,"Thu, 13 Feb 2025 08:00:00 GMT"
Flashback 2024: Top consumer and consumer-tech deals of the year - VCCircle,https://news.google.com/rss/articles/CBMikAFBVV95cUxOZGF3UVREOVA5cHgySWtYR0p5SUY1V3AtZkgtS3FjLXBiQm9ENHZ6WGJfTXlsQ3BhLXZaZDdwdkJWRDA2aXZZVUNuUDExVmFsTWNaeXdZSXhYZV9VVC1nbzUtZmJGc184dDlHNVpoYkhwQzc4ZGFVMURkdkFNc0tBNms5dU1FQ0tLakRwaWg1dXk?oc=5,"Tue, 24 Dec 2024 08:00:00 GMT"
